Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization,Average Wait Time, Average Queue Length, Final Clock Time
1.000000,1.087233,0.063887,6.460912,4.461700,4.461700,9197664
2.000000,2.175634,0.063887,12.928768,4.461700,8.923400,4596362
3.000000,3.265226,0.063887,19.403704,4.461700,13.385099,3062575
4.000000,4.355943,0.063887,25.885324,4.461700,17.846800,2295714
5.000000,5.447777,0.063881,32.373581,4.455500,22.277500,1835611
6.000000,6.540920,0.064026,38.869610,4.600300,27.601799,1528837
7.000000,7.634858,0.064891,45.370373,5.466000,38.262001,1309782
8.000000,8.730788,0.066810,51.882969,7.384900,59.079201,1145372
9.000000,9.827102,0.069959,58.397850,10.534100,94.806900,1017594
10.000000,10.924294,0.074828,64.917946,15.403200,154.031998,915391
11.000000,12.023855,0.082581,71.452118,23.155399,254.709396,831680
12.000000,13.123738,0.095442,77.988213,36.016701,432.200409,761978
13.000000,14.224185,0.118675,84.527641,59.249901,770.248718,703028
14.000000,15.325718,0.178567,91.073532,119.141800,1667.985229,652498
15.000000,16.428993,0.612786,97.629791,553.361084,8300.416016,608680
16.000000,16.823376,17.456802,99.973419,17397.376953,278358.031250,594411
17.000000,16.824226,44.817165,99.978462,44757.738281,760881.562500,594381
18.000000,16.824989,69.182999,99.983009,69123.578125,1244224.375000,594354
19.000000,16.825697,90.889549,99.987213,90830.125000,1725772.375000,594329
20.000000,16.826378,110.396965,99.991249,110337.539062,2206750.750000,594305
21.000000,16.826632,128.034927,99.992767,127975.500000,2687485.500000,594296
22.000000,16.826689,144.018311,99.993103,143958.890625,3167095.500000,594294
23.000000,16.826746,158.620667,99.993439,158561.250000,3646908.750000,594292
24.000000,16.826773,171.927887,99.993607,171868.453125,4124843.000000,594291
25.000000,16.826801,184.132553,99.993774,184073.140625,4601828.500000,594290
26.000000,16.826859,195.433746,99.994110,195374.312500,5079732.000000,594288
27.000000,16.826887,205.909409,99.994278,205849.984375,5557949.500000,594287
28.000000,16.826916,215.551041,99.994446,215491.625000,6033765.500000,594286
29.000000,16.826942,224.512726,99.994614,224453.296875,6509145.500000,594285
30.000000,16.826971,233.009460,99.994781,232950.046875,6988501.500000,594284
