Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization,Average Wait Time, Average Queue Length, Final Clock Time
1.000000,1.087233,0.059425,6.460914,0.000000,0.000000,9197662
2.000000,2.175635,0.059425,12.928774,0.000000,0.000000,4596360
3.000000,3.265228,0.059425,19.403717,0.000000,0.000000,3062573
4.000000,4.355947,0.059425,25.885345,0.000000,0.000000,2295712
5.000000,5.447783,0.059425,32.373615,0.000000,0.000000,1835609
6.000000,6.540928,0.060024,38.869663,0.598300,3.589800,1528835
7.000000,7.634870,0.061582,45.370445,2.156400,15.094800,1309780
8.000000,8.730681,0.063838,51.882336,4.412700,35.301601,1145386
9.000000,9.826967,0.067016,58.397045,7.591100,68.319901,1017608
10.000000,10.924127,0.071302,64.916946,11.876700,118.767006,915405
11.000000,12.023653,0.077473,71.450920,18.047701,198.524704,831694
12.000000,13.123497,0.086297,77.986778,26.871500,322.458008,761992
13.000000,14.223902,0.102065,84.525963,42.639400,554.312195,703042
14.000000,15.325389,0.139710,91.071579,80.284500,1123.983032,652512
15.000000,16.429831,0.411319,97.634758,351.894196,5278.413086,608649
16.000000,16.824368,10.748262,99.979309,10688.836914,171021.390625,594376
17.000000,16.824423,27.645878,99.979645,27586.453125,468969.687500,594374
18.000000,16.825188,42.697594,99.984184,42638.167969,767487.000000,594347
19.000000,16.825811,56.138432,99.987885,56079.007812,1065501.125000,594325
20.000000,16.826235,68.256927,99.990410,68197.500000,1363950.000000,594310
21.000000,16.827057,79.219856,99.995285,79160.429688,1662369.000000,594281
22.000000,16.827566,89.183578,99.998314,89124.156250,1960731.500000,594263
23.000000,16.827991,98.310089,100.000839,98250.664062,2259765.250000,594248
24.000000,16.828020,106.646896,100.001007,106587.468750,2558099.250000,594247
25.000000,16.828047,114.303009,100.001175,114243.585938,2856089.750000,594246
26.000000,16.828104,121.398697,100.001518,121339.273438,3154821.000000,594244
27.000000,16.828133,127.982719,100.001686,127923.296875,3453929.000000,594243
28.000000,16.828161,134.057205,100.001854,133997.781250,3751938.000000,594242
29.000000,16.828190,139.715591,100.002022,139656.171875,4050029.000000,594241
30.000000,16.828218,145.087296,100.002190,145027.875000,4350836.000000,594240
