Lambda,Average Throughput,Average Turnaround Time,Cpu Utilization,Average Wait Time, Average Queue Length, Final Clock Time
<<<<<<< HEAD
=======
1.000000,1.303781,0.064800,8.448501,0.000000,0.000000,3835
2.000000,2.545825,0.064800,16.496944,0.000000,0.000000,1964
3.000000,3.728561,0.064800,24.161074,0.000000,0.000000,1341
4.000000,4.859087,0.064800,31.486881,0.000000,0.000000,1029
5.000000,5.924170,0.064800,38.388626,0.000000,0.000000,844
6.000000,6.973501,0.064800,45.188286,0.000000,0.000000,717
7.000000,7.961783,0.066200,51.592358,1.400000,9.800000,628
8.000000,8.896797,0.068000,57.651245,3.200000,25.600000,562
9.000000,9.803922,0.069400,63.529411,4.600000,41.399998,510
10.000000,10.660981,0.070600,69.083153,5.800000,58.000000,469
>>>>>>> 982a2cfa4793fbfa1e01ca73a646cc28e1cfb5d3
